doc_id,surface,start_pos,end_pos,type,identifier,score
lestragdiesdeso00tourgoog_0064,Homère,94,100,PER,Q6691,99.98
lestragdiesdeso00tourgoog_0064,Euripide,102,110,PER,Q48305,100.0
lestragdiesdeso00tourgoog_0064,Iphig. Taur.,161,173,WORK,Q523227,99.6
lestragdiesdeso00tourgoog_0064,Euripide,211,219,PER,Q48305,100.0
lestragdiesdeso00tourgoog_0064,Phéniciennes,223,235,WORK,Q1233660,99.9
lestragdiesdeso00tourgoog_0064,Ajux,1329,1333,PER,Q172725,99.87
lestragdiesdeso00tourgoog_0067,Linwood,205,212,PER,NIL,65.17
lestragdiesdeso00tourgoog_0067,Schneidewin,435,446,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0067,fragment,729,737,WORK,NIL,49.26
lestragdiesdeso00tourgoog_0067,Eupolis,740,747,PER,Q459517,88.94
lestragdiesdeso00tourgoog_0067,"d’Aristote,",1013,1024,PER,Q868,100.0
lestragdiesdeso00tourgoog_0067,OEdipe ἃ Οοίοπε,1093,1108,WORK,Q294001,99.75
lestragdiesdeso00tourgoog_0081,Électre,325,332,WORK,Q733444,99.99
lestragdiesdeso00tourgoog_0089,ISehneidewin,171,183,PER,Q70043,99.99
lestragdiesdeso00tourgoog_0089,Teucer,642,648,PER,Q878184,99.97
lestragdiesdeso00tourgoog_0089,Scbneidewin,970,981,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0097,Eustathe,223,231,PER,Q453465,99.97
lestragdiesdeso00tourgoog_0097,Iliade,903,909,WORK,Q8275,100.0
lestragdiesdeso00tourgoog_0097,Virgile,1143,1150,PER,Q1398,99.98
lestragdiesdeso00tourgoog_0097,ÆRacine,1340,1347,PER,Q742,98.79
lestragdiesdeso00tourgoog_0097,Trachiniennes,1660,1673,WORK,Q945342,99.81
lestragdiesdeso00tourgoog_0097,Dindorf,1979,1986,PER,Q67533,99.98
lestragdiesdeso00tourgoog_0121,OEd. à Colone,467,480,WORK,Q294001,99.99
lestragdiesdeso00tourgoog_0121,Tecmesse,542,550,PER,Q10796858,99.97
lestragdiesdeso00tourgoog_0024,Oxford,722,728,LOC,Q34217,99.99
lestragdiesdeso00tourgoog_0024,Gaisford,821,829,PER,Q2424118,99.95
lestragdiesdeso00tourgoog_0024,Schneidewin,1221,1232,PER,Q70043,99.99
lestragdiesdeso00tourgoog_0024,Schneidewin,2061,2072,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0025,Sophocle,509,517,PER,Q7235,100.0
lestragdiesdeso00tourgoog_0025,Neue,1473,1477,PER,NIL,82.24
lestragdiesdeso00tourgoog_0025,France,1529,1535,LOC,Q142,99.98
lestragdiesdeso00tourgoog_0025,Neue,1602,1606,PER,NIL,67.34
lestragdiesdeso00tourgoog_0025,Sophocle,1883,1891,PER,Q7235,100.0
lestragdiesdeso00tourgoog_0025,Neue,2008,2012,PER,NIL,72.74
lestragdiesdeso00tourgoog_0138,Antigone,366,374,WORK,Q241077,99.96
lestragdiesdeso00tourgoog_0138,Eurip.,578,584,PER,Q48305,100.0
lestragdiesdeso00tourgoog_0138,T. Liv.,657,664,PER,Q2039,98.9
lestragdiesdeso00tourgoog_0138,Aristophane,910,921,PER,Q43353,99.98
lestragdiesdeso00tourgoog_0138,Électre,1313,1320,WORK,Q733444,99.98
lestragdiesdeso00tourgoog_0061,Sophocle,86,94,PER,Q7235,100.0
lestragdiesdeso00tourgoog_0061,(4)αα,481,486,WORK,Q412341,73.43
lestragdiesdeso00tourgoog_0061,Brunck,870,876,PER,Q454469,100.0
lestragdiesdeso00tourgoog_0061,Euripide,1040,1048,PER,Q48305,100.0
lestragdiesdeso00tourgoog_0061,Neue,1114,1118,PER,NIL,48.71
lestragdiesdeso00tourgoog_0061,Schneidewin,1120,1131,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0061,Schneidewin,1269,1280,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0061,ΟΕ ώ. Roi,1496,1505,WORK,Q148643,99.99
lestragdiesdeso00tourgoog_0076,Antig.,229,235,WORK,Q241077,99.97
lestragdiesdeso00tourgoog_0076,Philoct.,479,487,WORK,Q1415903,99.93
lestragdiesdeso00tourgoog_0076,Antig.,589,595,WORK,Q241077,99.72
lestragdiesdeso00tourgoog_0076,Madv.,888,893,PER,NIL,30.97
lestragdiesdeso00tourgoog_0076,Ajax,1269,1273,PER,Q172725,99.98
lestragdiesdeso00tourgoog_0134,Ηϊπιέτίυ5,261,270,PER,Q1406282,86.57
lestragdiesdeso00tourgoog_0134,Dis- cours V,272,284,WORK,NIL,52.96
lestragdiesdeso00tourgoog_0134,Lobeck,1595,1601,PER,Q84734,98.37
lestragdiesdeso00tourgoog_0154,Schneidewin,669,680,PER,Q70043,100.0
lestragdiesdeso00tourgoog_0142,Ἡοπιὲτε,207,214,PER,Q6691,99.96
lestragdiesdeso00tourgoog_0142,Euripide,311,319,PER,Q48305,100.0
lestragdiesdeso00tourgoog_0142,Schneidevîu,472,483,PER,Q70043,99.97
lestragdiesdeso00tourgoog_0142,Pirée,712,717,LOC,Q58976,99.62
lestragdiesdeso00tourgoog_0142,Virgile,850,857,PER,Q1398,100.0
lestragdiesdeso00tourgoog_0142,"Trachiniennes,",1074,1088,WORK,Q945342,99.93
lestragdiesdeso00tourgoog_0142,Dindorf,1165,1172,PER,Q67533,99.99
lestragdiesdeso00tourgoog_0142,Schneidewin,1305,1316,PER,Q70043,100.0
