doc_id,start_pos,end_pos,surface,type,identifier
document_000001.html,58,74,Lord Chamberlain,PER,Q541755
document_000003.html,0,10,Mr. Liddle,PER,NIL
document_000008.html,0,16,Benzamin Rogenrs,PER,Q18546476
document_000008.html,25,37,Peter Rogers,PER,NIL
document_000009.html,95,110,Lefébure - Wély,PER,Q546919
document_000010.html,40,50,M. Beckers,PER,NIL
document_000011.html,56,82,Dictionnaire des Musiciens,MISC,NIL
document_000013.html,29,39,Miss Orton,PER,NIL
document_000013.html,41,50,Miss Wale,PER,NIL
document_000013.html,56,69,Mr. Horniblow,PER,NIL
document_000014.html,0,9,Mr. Mocre,PER,Q315346
document_000014.html,86,96,Mr. Bishop,PER,Q1200639
document_000015.html,2,5,Bow,PER,NIL
document_000015.html,12,21,E. Carper,PER,NIL
document_000019.html,61,70,J. Thomas,PER,Q1701921
document_000019.html,0,10,F. J. Amor,PER,NIL
document_000019.html,24,37,Walter Pettit,PER,NIL
document_000019.html,39,47,F. Ralph,PER,NIL
document_000019.html,49,59,P. Sainton,PER,NIL
document_000019.html,72,80,A. White,PER,NIL
document_000020.html,41,56,Lefébure - Wély,PER,Q546919
document_000020.html,10,22,Andante in G,MISC,NIL
document_000021.html,137,144,Oedipus,MISC,NIL
document_000024.html,21,34,Musicat Timzs,ORG,Q1757371
document_000025.html,27,41,Earl of Cawdor,PER,Q6224952
document_000031.html,49,60,Louis Dien1,PER,Q19900926
document_000031.html,23,31,SPINDLER,PER,NIL
document_000031.html,34,45,HUSARENRITT,MISC,NIL
document_000032.html,43,51,Preciosa,MISC,NIL
document_000033.html,36,56,Fall'n is thy Throne,MISC,NIL
document_000035.html,45,62,Kennington - road,LOC,Q6390920
document_000036.html,0,6,Oakley,PER,NIL
document_000037.html,111,119,Sirletti,PER,Q102283903
document_000037.html,121,127,Asioli,PER,Q892563
document_000037.html,133,140,Pollini,PER,Q1351579
document_000039.html,0,15,Second Concerto,MISC,NIL
document_000039.html,49,71,Le pas de Polichinelle,MISC,NIL
document_000040.html,113,122,T. Howell,PER,NIL
document_000041.html,0,6,Mr. G.,PER,NIL
document_000043.html,23,35,Brooke House,LOC,NIL
document_000043.html,190,202,Brooke House,LOC,NIL
document_000043.html,153,166,Mr. Batchelor,PER,NIL
document_000044.html,39,58,Almen se non possio,MISC,NIL
document_000048.html,101,111,Ipermestra,MISC,Q18600820
document_000048.html,88,96,Antigono,MISC,NIL
document_000048.html,159,175,court of Dresden,ORG,NIL
document_000050.html,0,17,Mr. Duncan Finvay,PER,NIL
document_000050.html,49,78,Shaftesbury Park Lecture Hall,LOC,NIL
document_000051.html,73,80,Martini,PER,Q283651
document_000052.html,38,46,Danaides,MISC,Q1751750
document_000052.html,4,21,Bacchanalian Song,MISC,NIL
document_000054.html,8,17,Mrs. Wood,PER,NIL
document_000055.html,18,30,H. Hagemeyer,PER,NIL
document_000055.html,44,57,12th Regiment,ORG,NIL
document_000057.html,49,62,Dr. Kitchiner,PER,NIL
document_000058.html,147,159,L’Abbe Guyon,PER,Q2976789
document_000058.html,100,126,History of the East Indies,MISC,NIL
document_000059.html,46,62,Die Elfen Walzer,MISC,NIL
document_000060.html,35,42,Grisias,PER,Q287344
document_000062.html,131,144,Theatre Royal,LOC,Q7777436
document_000063.html,57,75,La Divina Sapienza,MISC,NIL
document_000065.html,64,68,Bart,PER,NIL
document_000067.html,50,66,W. T. Freemantle,PER,Q8019310
document_000072.html,36,42,Walker,PER,NIL
document_000074.html,83,94,Chamberlain,PER,Q541755
document_000076.html,0,14,Cantate Domino,MISC,Q1326476
document_000076.html,19,34,Deus Misereatur,MISC,Q1689664
document_000079.html,52,76,District Musical Society,ORG,NIL
document_000079.html,95,106,Public Hall,LOC,NIL
document_000080.html,27,42,Signor Liverati,PER,Q3767573
document_000080.html,1,7,Carron,MISC,NIL
document_000081.html,14,23,Jarnowick,PER,Q1526160
document_000083.html,18,36,M. Joachim Hoffman,PER,NIL
document_000084.html,7,28,Antient Concert Rooms,LOC,NIL
document_000085.html,0,15,Musical Society,ORG,NIL
document_000087.html,0,24,The Philharmonic Society,ORG,Q1292443
document_000087.html,42,53,M. Schénche,PER,NIL
document_000088.html,0,15,Mr. Kalkbrenner,PER,Q170270
document_000089.html,1,22,Qui est Rex Gloriosus,MISC,NIL
document_000092.html,117,137,Viscount Fitzwilliam,PER,Q7325692
document_000093.html,32,40,Mr. Hall,PER,NIL
document_000094.html,46,53,Norfolk,MISC,Q11991993
document_000094.html,58,65,Norwich,MISC,Q11991993
document_000094.html,66,79,Musical Union,MISC,Q11991993
document_000095.html,96,123,institution degli Orfanelli,ORG,NIL
document_000099.html,1,11,La Cascina,MISC,NIL
document_000099.html,16,23,Statira,MISC,NIL
document_000099.html,33,49,La Conversazione,MISC,NIL
document_000099.html,51,60,Artaserse,MISC,NIL
document_000099.html,66,81,Alessandro nell,MISC,NIL
document_000100.html,103,124,Mr. Sterndale Bennett,PER,Q201164
document_000103.html,11,23,Ettore Fiori,PER,Q55912552
document_000103.html,25,38,Manuel Garcia,PER,Q333183
document_000103.html,0,2,G.,PER,NIl
document_000103.html,3,9,Benson,PER,NIL
document_000103.html,40,51,P. Goldberg,PER,NIL
document_000103.html,67,82,T. A. Wallworth,PER,NIL
document_000106.html,50,55,Prior,PER,NIL
document_000107.html,41,65,Grosvenor Choral Society,ORG,NIL
document_000108.html,68,92,Charles V. et Dugueselin,MISC,NIL
document_000110.html,125,140,Theodore Distin,PER,Q76098551
document_000110.html,36,50,Agnes Drummond,PER,NIL
document_000110.html,52,68,Josephine Pulham,PER,NIL
document_000110.html,70,82,Marian Haigh,PER,NIL
document_000110.html,84,100,Florence Wydford,PER,NIL
document_000110.html,114,123,Henry Guy,PER,NIL
document_000110.html,142,150,E. Stone,PER,NIL
document_000110.html,156,169,Thurley Beale,PER,NIL
document_000111.html,105,144,Almanach général de tous les spectacles,MISC,Q3235618
document_000113.html,0,9,Mrs. Shaw,PER,Q3291051
document_000114.html,1,43,Lives of the Professors of Gresham College,MISC,NIL
document_000115.html,5,15,Saltarello,MISC,not in Wikidata
document_000117.html,0,10,Air Suisse,MISC,NIL
document_000117.html,20,47,Introduction and Variations,MISC,NIL
document_000119.html,29,35,London,LOC,Q84
document_000123.html,123,132,Berthaume,PER,NIL
document_000124.html,86,96,Cannobiano,LOC,Q3982039
