doc_id,start_pos,end_pos,surface,type,identifier
document_000000.html,0,8,Gavinies,PER,Q490205
document_000001.html,58,74,Lord Chamberlain,PER,Q541755
document_000008.html,0,16,Benzamin Rogenrs,PER,Q18546476
document_000008.html,62,69,Windsor,LOC,Q464955
document_000012.html,45,55,Birmingham,LOC,Q2256
document_000014.html,0,9,Mr. Mocre,PER,Q315346
document_000014.html,86,96,Mr. Bishop,PER,Q1200639
document_000017.html,0,6,Rameau,PER,Q1145
document_000019.html,12,22,H. Lazarus,PER,Q5724751
document_000019.html,61,70,J. Thomas,PER,Q1701921
document_000020.html,0,7,Batiste,PER,Q274231
document_000024.html,21,34,Musicat Timzs,ORG,Q1757371
document_000025.html,27,41,Earl of Cawdor,PER,Q6224952
document_000028.html,85,96,M. Eberwein,PER,Q215521
document_000029.html,73,87,Hymn of Praise,MISC,Q210536
document_000031.html,49,60,Louis Dien1,PER,Q19900926
document_000031.html,23,31,SPINDLER,PER,NIL
document_000032.html,34,39,Weber,PER,Q154812
document_000032.html,43,51,Preciosa,MISC,NIL
document_000035.html,14,23,A. Hunter,ORG,Q105564139
document_000036.html,17,32,Tavistock Place,LOC,Q7689129
document_000037.html,111,119,Sirletti,PER,Q102283903
document_000037.html,121,127,Asioli,PER,Q892563
document_000037.html,133,140,Pollini,PER,Q1351579
document_000048.html,88,96,Antigono,MISC,NIL
document_000048.html,159,175,court of Dresden,ORG,NIL
document_000049.html,75,85,Harmonicon,MISC,Q7738918
document_000051.html,73,80,Martini,PER,Q283651
document_000052.html,38,46,Danaides,MISC,Q1751750
document_000055.html,59,72,Cork Barracks,LOC,Q5147345
document_000055.html,74,81,Ireland,LOC,Q22890
document_000057.html,49,62,Dr. Kitchiner,PER,NIL
document_000058.html,147,159,L’Abbe Guyon,PER,Q2976789
document_000060.html,35,42,Grisias,PER,Q287344
document_000060.html,62,70,Pasquale,MISC,Q723941
document_000062.html,131,144,Theatre Royal,LOC,Q7777436
document_000064.html,23,43,English church music,MISC,Q4763552
document_000065.html,42,62,Sir Thomas Gladstone,PER,Q7529140
document_000068.html,57,66,Admiralty,ORG,Q396266
document_000070.html,45,50,Italy,LOC,Q38
document_000074.html,83,94,Chamberlain,PER,Q541755
document_000076.html,0,14,Cantate Domino,MISC,Q1326476
document_000076.html,19,34,Deus Misereatur,MISC,Q1689664
document_000080.html,27,42,Signor Liverati,PER,Q3767573
document_000081.html,14,23,Jarnowick,PER,Q1526160
document_000085.html,19,28,Cambridge,LOC,Q350
document_000085.html,0,15,Musical Society,ORG,NIL
document_000087.html,0,24,The Philharmonic Society,ORG,Q1292443
document_000089.html,1,22,Qui est Rex Gloriosus,MISC,NIL
document_000090.html,143,152,Cambridge,LOC,Q350
