doc_id,start_pos,end_pos,surface,type,identifier
document_000004.html,71,77,Busont,PER,Q219551
document_000004.html,124,164,cia funebre dell’imperatore Massimiliano,MISC,NIL
document_000004.html,342,349,Debussy,PER,Q4700
document_000004.html,405,413,Scriabin,PER,Q185647
document_000005.html,72,92,gran maestro di Bonn,PER,Q255
document_000005.html,137,147,Mengelbere,PER,Q336725
document_000006.html,208,217,Guarnieri,PER,Q1165357
document_000006.html,249,258,Guarnieri,PER,Q1165357
document_000006.html,224,230,Wendel,PER,Q1303289
document_000007.html,36,51,Quinta sinfonia,MISC,Q188709
document_000008.html,356,363,Cellini,MISC,Q277846
document_000009.html,4,12,Seriabin,PER,Q185647
document_000009.html,109,122,delVPAugusteo,LOC,Q3616668
document_000009.html,291,296,Reger,PER,Q57139
document_000010.html,84,96,all’Augusteo,LOC,Q3616668
document_000011.html,0,6,Coates,PER,Q1230717
document_000011.html,358,364,Coates,PER,Q1230717
document_000011.html,461,467,Natale,MISC,Q19809
document_000012.html,174,180,Europa,LOC,Q46
document_000013.html,37,45,Juventus,MISC,Q109001794
document_000013.html,52,60,DiSabata,PER,Q464890
document_000013.html,238,252,Prima sinfonia,MISC,Q163493
document_000013.html,513,519,Italia,LOC,Q38
document_000013.html,662,674,all’Augusteo,LOC,Q3616668
document_000013.html,695,717,La Sinfonia delle Alpi,MISC,Q304423
document_000014.html,53,65,Santoliquide,PER,Q3817387
document_000014.html,127,131,Fano,PER,Q3779156
document_000014.html,133,146,dell’Agostini,PER,Q3855836
document_000014.html,194,203,Marinuzzi,PER,Q3106818
document_000015.html,28,35,Firenze,LOC,Q2044
document_000016.html,72,116,Le sette parole » per coro e grand’orchestra,MISC,Q1219505
document_000017.html,136,176,La Musica dell’Antichité e del Medio Evo,MISC,NIL
document_000018.html,263,270,Caccini,PER,Q215308
document_000019.html,264,268,Azda,MISC,Q171277
document_000019.html,376,384,Molinari,PER,Q3725923
document_000019.html,412,419,Consoli,PER,Q109860310
document_000019.html,559,575,Sansone e Dalila,MISC,Q753152
document_000020.html,92,96,Bach,PER,Q1339
document_000020.html,266,272,Italia,LOC,Q38
document_000020.html,334,341,Berlino,LOC,Q64
document_000022.html,42,50,Turandot,MISC,Q354748
document_000022.html,166,176,Arlecchino,MISC,Q922043
document_000023.html,210,216,Franck,PER,Q50187
document_000024.html,107,114,Zabarro,MISC,Q468235
document_000024.html,217,223,Marini,PER,Q6700083
document_000024.html,226,235,Piccaluga,PER,Q20006109
document_000024.html,370,375,Scala,LOC,Q5471
document_000024.html,412,426,Dédora e Jaéle,MISC,Q5320172
document_000025.html,87,93,Galefh,PER,Q1154378
document_000025.html,95,106,il /alsfaff,MISC,Q318455
document_000025.html,332,342,De Hidalgo,PER,Q465195
document_000025.html,355,362,Hackett,PER,Q767676
document_000025.html,378,385,Galeffi,PER,Q1154378
document_000025.html,399,409,De Angelis,PER,Q2536286
document_000025.html,412,420,Azzolini,PER,Q16268143
document_000025.html,424,441,i Maestri Cantort,MISC,Q465540
document_000026.html,35,51,Maestrit Canfori,MISC,Q465540
document_000026.html,213,222,Wildbrunn,PER,Q89504
document_000026.html,239,249,De Angelis,PER,Q2536286
document_000027.html,344,348,Rota,PER,Q97571478
document_000027.html,350,360,Rovescalli,PER,Q94288706
document_000028.html,199,216,Mafalda de Voltri,PER,NIL
document_000028.html,218,227,Eva Didur,PER,Q50356749
document_000028.html,245,258,Anna Gramegna,PER,Q102075886
document_000028.html,294,313,Margherita Sheridan,PER,Q6759227
document_000028.html,315,326,Giulia Tess,PER,Q63479708
document_000028.html,341,356,Elena Wildbrunn,PER,Q89504
document_000032.html,3,25,Sectela del Quarteltlo,ORG,Q3963794
document_000032.html,120,125,Longo,PER,Q1934977
document_000032.html,251,264,Gaspar Cayado,PER,Q429393
document_000032.html,376,393,Sonata a Kreutzer,MISC,Q1154601
document_000032.html,398,407,A. Serato,PER,Q4416580
document_000032.html,411,420,E Consolo,PER,Q16189778
document_000032.html,488,510,Sifrid Hoffmann Onegin,PER,Q78364
document_000032.html,413,420,Consolo,PER,Q16189778
document_000032.html,546,553,Consolo,PER,Q16189778
document_000033.html,258,270,dall’America,LOC,Q828
document_000034.html,161,174,Michelangiolo,PER,Q5592
document_000035.html,44,52,Cagliero,PER,Q982546
document_000035.html,92,99,Ranuzzi,PER,Q1442098
document_000035.html,245,252,Sistina,ORG,Q1236085
document_000035.html,259,264,Boezi,PER,Q29646877
document_000036.html,67,74,Polonia,LOC,Q36
document_000037.html,138,159,Biblioteca Corsiniana,LOC,Q3639657
document_000038.html,210,218,Augusteo,LOC,Q3616668
document_000038.html,229,237,Costanzi,LOC,Q1050350
document_000039.html,159,176,Aristide Sartorio,PER,Q1062517
document_000041.html,415,433,Teatro dei Piccoli,LOC,NIL
document_000042.html,33,41,Molinari,PER,Q2619703
document_000043.html,74,93,concerto gregoriano,MISC,Q11300734
document_000044.html,301,307,Davico,PER,Q942851
document_000044.html,430,440,l’Augusteo,LOC,Q3616668
document_000045.html,34,42,Molinari,PER,Q2619703
document_000046.html,120,139,Marsilio Ceccarelli,PER,Q102289005
document_000048.html,6,23,Sonata in sol min,MISC,Q2641249
document_000048.html,44,60,Sonata in Za mix,MISC,Q3073254
document_000049.html,121,128,Sartori,PER,NIL
document_000050.html,144,158,Eugenio Albini,PER,Q124499318
document_000050.html,227,247,Giornale della donna,ORG,Q3794191
document_000051.html,0,29,Nell’oratorio di San Marcello,LOC,Q1165020
document_000051.html,121,135,Cardenio Botti,PER,Q100077371
document_000051.html,153,163,l’Alaleona,MISC,Q2262438
document_000051.html,247,265,Casa degli Artisti,LOC,Q3661195
document_000052.html,2,7,Botti,PER,Q100077371
document_000052.html,576,581,Botti,PER,Q100077371
document_000052.html,467,484,Vergine Benedetta,PER,Q345
document_000052.html,669,675,Rosadi,PER,Q3768056
document_000052.html,854,865,La felicita,MISC,NIL
document_000053.html,57,62,Bozza,PER,Q918509
document_000053.html,325,330,Bozza,PER,Q918509
document_000053.html,151,157,Chopin,PER,Q1268
document_000053.html,404,418,Cardenio Botti,PER,Q100077371
document_000056.html,112,145,Banda Musicale del Comune di Roma,ORG,Q3633905
document_000056.html,314,322,Vessella,PER,Q2719255
document_000057.html,111,120,Cleopatra,MISC,NIL
document_000059.html,261,266,Peano,LOC,Q58905
document_000059.html,309,315,Albani,ORG,Q2605448
document_000060.html,59,64,Pangi,LOC,Q90
document_000061.html,37,44,Borroni,PER,Q600955
document_000062.html,44,49,Monti,PER,Q723643
document_000062.html,68,78,Compagnoni,PER,NIL
document_000062.html,331,350,Giovanni Gherardini,PER,Q3767354
document_000063.html,32,43,Pittagorici,MISC,NIL
