doc_id,start_pos,end_pos,surface,type,identifier
document_000000.html,0,8,Gavinies,PER,Q490205
document_000001.html,58,74,Lord Chamberlain,PER,Q541755
document_000008.html,0,16,Benzamin Rogenrs,PER,Q18546476
document_000012.html,45,55,Birmingham,LOC,Q2256
document_000014.html,0,9,Mr. Mocre,PER,Q315346
document_000014.html,86,96,Mr. Bishop,PER,Q1200639
document_000019.html,12,22,H. Lazarus,PER,Q5724751
document_000019.html,61,70,J. Thomas,PER,Q1701921
document_000019.html,49,59,P. Sainton,PER,NIL
document_000019.html,72,80,A. White,PER,NIL
document_000020.html,41,56,Lefébure - Wély,PER,Q546919
document_000024.html,21,34,Musicat Timzs,ORG,Q1757371
document_000029.html,73,87,Hymn of Praise,MISC,Q210536
document_000031.html,49,60,Louis Dien1,PER,Q19900926
document_000035.html,45,62,Kennington - road,LOC,Q6390920
document_000036.html,17,32,Tavistock Place,LOC,Q7689129
document_000036.html,0,6,Oakley,PER,NIL
document_000037.html,111,119,Sirletti,PER,Q102283903
document_000037.html,121,127,Asioli,PER,Q892563
document_000037.html,133,140,Pollini,PER,Q1351579
document_000039.html,34,43,Kiallmark,PER,Q18671297
document_000043.html,23,35,Brooke House,LOC,NIL
document_000048.html,88,96,Antigono,MISC,NIL
document_000048.html,159,175,court of Dresden,ORG,NIL
document_000051.html,73,80,Martini,PER,Q283651
document_000052.html,38,46,Danaides,MISC,Q1751750
document_000052.html,4,21,Bacchanalian Song,MISC,NIL
document_000055.html,59,72,Cork Barracks,LOC,Q5147345
document_000057.html,49,62,Dr. Kitchiner,PER,NIL
document_000058.html,147,159,L’Abbe Guyon,PER,Q2976789
document_000058.html,100,126,History of the East Indies,MISC,NIL
document_000060.html,35,42,Grisias,PER,Q287344
document_000062.html,131,144,Theatre Royal,LOC,Q7777436
document_000064.html,23,43,English church music,MISC,Q4763552
document_000067.html,3,13,24th Psalm,MISC,Q1628536
document_000072.html,47,53,London,LOC,Q84
document_000074.html,83,94,Chamberlain,PER,Q541755
document_000076.html,0,14,Cantate Domino,MISC,Q1326476
document_000076.html,19,34,Deus Misereatur,MISC,Q1689664
document_000080.html,27,42,Signor Liverati,PER,Q3767573
document_000081.html,14,23,Jarnowick,PER,Q1526160
document_000083.html,18,36,M. Joachim Hoffman,PER,NIL
document_000084.html,7,28,Antient Concert Rooms,LOC,NIL
document_000085.html,19,28,Cambridge,LOC,Q350
document_000085.html,0,15,Musical Society,ORG,NIL
document_000087.html,0,24,The Philharmonic Society,ORG,Q1292443
document_000090.html,143,152,Cambridge,LOC,Q350
document_000092.html,117,137,Viscount Fitzwilliam,PER,Q7325692
document_000093.html,32,40,Mr. Hall,PER,NIL
document_000094.html,46,53,Norfolk,MISC,Q11991993
