doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000001.html,58,74,Lord Chamberlain,Q541755,PER,Q1355456,Lord Chamberlain,,22.85060691833496
document_000008.html,0,16,Benzamin Rogenrs,Q18546476,PER,NIL,Benzamin Rogenrs,```json {} ```,0
document_000008.html,25,37,Peter Rogers,NIL,PER,Q17421747,Thomas Rogers,,30.379470825195312
document_000009.html,95,110,Lefébure - Wély,Q546919,PER,Q38466132,Isaac-François Lefébure-Wely,,23.51831817626953
document_000011.html,56,82,Dictionnaire des Musiciens,NIL,MISC,Q1422262,La Lettre du musicien,,29.318347930908203
document_000012.html,45,55,Birmingham,Q2256,LOC,NIL,Birmingham,```json {} ```,0
document_000014.html,0,9,Mr. Mocre,Q315346,PER,NIL,Mr. Mocre,```json {} ```,0
document_000014.html,86,96,Mr. Bishop,Q1200639,PER,Q6913617,Morris Bishop,"```json { ""wikipedia_page"": ""Morris Bishop"", ""wikidata_id"": ""Q6913617"" } ```",10.358948707580566
document_000019.html,61,70,J. Thomas,Q1701921,PER,NIL,J. Thomas,```json {} ```,0
document_000019.html,0,10,F. J. Amor,NIL,PER,Q3081439,Francis J. Finn,,22.26245880126953
document_000019.html,24,37,Walter Pettit,NIL,PER,Q105812497,Walter Pate,,23.181745529174805
document_000019.html,49,59,P. Sainton,NIL,PER,Q151334,Philip Sainton,,25.826082229614258
document_000019.html,72,80,A. White,NIL,PER,Q117088,Alain Campbell White,"```json { ""wikipedia_page"": ""Alain Campbell White"", ""wikidata_id"": ""Q117088"" } ```",16.03934097290039
document_000020.html,41,56,Lefébure - Wély,Q546919,PER,Q38466132,Isaac-François Lefébure-Wely,,23.122825622558594
document_000024.html,21,34,Musicat Timzs,Q1757371,ORG,NIL,Musicat Timzs,no,0
document_000031.html,49,60,Louis Dien1,Q19900926,PER,Q3261730,Louis Dien,,21.644245147705078
document_000035.html,45,62,Kennington - road,Q6390920,LOC,Q146696,Kennington,"```json { ""wikipedia_page"": ""Kennington"", ""wikidata_id"": ""Q146696"" } ```",14.23204517364502
document_000036.html,0,6,Oakley,NIL,PER,Q7076839,Octavius Oakley,,27.042165756225586
document_000037.html,111,119,Sirletti,Q102283903,PER,Q3771436,Giuseppe Sellitto,,23.15694808959961
document_000037.html,121,127,Asioli,Q892563,PER,Q2920312,Annibale Zoilo,,22.925979614257812
document_000037.html,133,140,Pollini,Q1351579,PER,Q160058,Maurizio Pollini,,25.475505828857422
document_000039.html,34,43,Kiallmark,Q18671297,PER,NIL,Kiallmark,no,0
document_000040.html,113,122,T. Howell,NIL,PER,Q3065958,John Thomas Howell,,27.418100357055664
document_000043.html,23,35,Brooke House,NIL,LOC,Q20711858,Brook House,"```json { ""wikipedia_page"": ""Brooke House"", ""wikidata_id"": ""Q20711858"" } ```",20.95263671875
document_000048.html,101,111,Ipermestra,Q18600820,MISC,Q21099452,Ipermestra,,21.71243667602539
document_000048.html,88,96,Antigono,NIL,MISC,Q18600822,Antigono,"```json { ""wikipedia_page"": ""Antigono"", ""wikidata_id"": ""Q18600822"" } ```",20.672426223754883
document_000048.html,159,175,court of Dresden,NIL,ORG,Q1718281,Royal theatre Dresden,"```json { ""wikipedia_page"": ""Royal theatre Dresden"", ""wikidata_id"": ""Q1718281"" } ```",17.636489868164062
document_000050.html,49,78,Shaftesbury Park Lecture Hall,NIL,LOC,Q7457805,Sever Hall,,25.04974365234375
document_000051.html,73,80,Martini,Q283651,PER,Q2831794,Alberto Martini,"```json {""wikipedia_page"":""Alberto Martini"", ""wikidata_id"":""Q2831794""} ```",18.901161193847656
